,name,street_type
900,Kaggeledsbacken,backen
901,Uddeholmsgatan,gatan
902,Bogärdesgatan,gatan
903,Nedergårdsgatan,gatan
904,Sparrgrensgatan,gatan
905,Hästhovsgatan,gatan
906,Hällskriftsgatan,gatan
907,Karl Staaffsgatan,gatan
908,Scholandersgatan,gatan
909,Toleredsgatan,gatan
910,Fjällviolen,other
911,Fjällveronikan,other
912,Fjällsyran,other
913,Fjällsippan,other
914,Fjällnejlikan,other
915,Fjällkåpan,other
916,Fjällhavren,other
917,Fjällgrönan,other
918,Fjällbruden,other
919,Mölnesjögatan,gatan
920,Fjällblomman,other
921,Fjällbinkan,other
922,Titteridammshöjden,other
